code,name,market,industry_name,industry_code
1101,台泥,listed,水泥工業,12
1102,亞泥,listed,水泥工業,12
1103,嘉泥,listed,水泥工業,12
1104,環泥,listed,水泥工業,12
1108,幸福,listed,水泥工業,12
1109,信大,listed,水泥工業,12
1110,東泥,listed,水泥工業,12
1201,味全,listed,食品工業,34
1203,味王,listed,食品工業,34
1210,大成,listed,食品工業,34
1213,大飲,listed,食品工業,34
1215,卜蜂,listed,食品工業,34
1216,統一,listed,食品工業,34
1217,愛之味,listed,食品工業,34
1218,泰山,listed,食品工業,34
1219,福壽,listed,食品工業,34
1220,台榮,listed,食品工業,34
1225,福懋油,listed,食品工業,34
1227,佳格,listed,食品工業,34
1229,聯華,listed,食品工業,34
1231,聯華食,listed,食品工業,34
1232,大統益,listed,食品工業,34
1233,天仁,listed,食品工業,34
1234,黑松,listed,食品工業,34
1235,興泰,listed,食品工業,34
1236,宏亞,listed,食品工業,34
1256,鮮活果汁-KY,listed,食品工業,34
1301,台塑,listed,塑膠工業,6
1303,南亞,listed,塑膠工業,6
1304,台聚,listed,塑膠工業,6
1305,華夏,listed,塑膠工業,6
1307,三芳,listed,塑膠工業,6
1308,亞聚,listed,塑膠工業,6
1309,台達化,listed,塑膠工業,6
1310,台苯,listed,塑膠工業,6
1312,國喬,listed,塑膠工業,6
1313,聯成,listed,塑膠工業,6
1314,中石化,listed,塑膠工業,6
1315,達新,listed,塑膠工業,6
1316,上曜,listed,建材營造業,8
1319,東陽,listed,汽車工業,13
1321,大洋,listed,塑膠工業,6
1323,永裕,listed,塑膠工業,6
1324,地球,listed,塑膠工業,6
1325,恆大,listed,塑膠工業,6
1326,台化,listed,塑膠工業,6
1337,再生-KY,listed,塑膠工業,6
1338,廣華-KY,listed,汽車工業,13
1339,昭輝,listed,汽車工業,13
1340,勝悅-KY,listed,塑膠工業,6
1341,富林-KY,listed,塑膠工業,6
1342,八貫,listed,其他業,2
1402,遠東新,listed,紡織纖維,17
1409,新纖,listed,紡織纖維,17
1410,南染,listed,紡織纖維,17
1413,宏洲,listed,紡織纖維,17
1414,東和,listed,紡織纖維,17
1416,廣豐,listed,其他業,2
1417,嘉裕,listed,紡織纖維,17
1418,東華,listed,紡織纖維,17
1419,新紡,listed,紡織纖維,17
1423,利華,listed,紡織纖維,17
1432,大魯閣,listed,運動休閒,26
1434,福懋,listed,紡織纖維,17
1435,中福,listed,其他業,2
1436,華友聯,listed,建材營造業,8
1437,勤益控,listed,其他業,2
1438,三地開發,listed,建材營造業,8
1439,雋揚,listed,建材營造業,8
1440,南紡,listed,紡織纖維,17
1441,大東,listed,紡織纖維,17
1442,名軒,listed,建材營造業,8
1443,立益物流,listed,其他業,2
1444,力麗,listed,紡織纖維,17
1445,大宇,listed,紡織纖維,17
1446,宏和,listed,紡織纖維,17
1447,力鵬,listed,紡織纖維,17
1449,佳和,listed,紡織纖維,17
1451,年興,listed,紡織纖維,17
1452,宏益,listed,紡織纖維,17
1453,大將,listed,建材營造業,8
1454,台富,listed,紡織纖維,17
1455,集盛,listed,紡織纖維,17
1456,怡華,listed,建材營造業,8
1457,宜進,listed,紡織纖維,17
1459,聯發,listed,紡織纖維,17
1460,宏遠,listed,紡織纖維,17
1463,強盛新,listed,紡織纖維,17
1464,得力,listed,紡織纖維,17
1465,偉全,listed,紡織纖維,17
1466,聚隆,listed,紡織纖維,17
1467,南緯,listed,紡織纖維,17
1468,昶和,listed,紡織纖維,17
1470,大統新創,listed,紡織纖維,17
1471,首利,listed,電子零組件業,31
1472,三洋實業,listed,建材營造業,8
1473,台南,listed,紡織纖維,17
1474,弘裕,listed,紡織纖維,17
1475,業旺,listed,紡織纖維,17
1476,儒鴻,listed,紡織纖維,17
1477,聚陽,listed,紡織纖維,17
1503,士電,listed,電機機械,32
1504,東元,listed,電機機械,32
1506,正道,listed,電機機械,32
1512,瑞利,listed,汽車工業,13
1513,中興電,listed,電機機械,32
1514,亞力,listed,電機機械,32
1515,力山,listed,電機機械,32
1516,川飛,listed,其他業,2
1517,利奇,listed,電機機械,32
1519,華城,listed,電機機械,32
1521,大億,listed,汽車工業,13
1522,堤維西,listed,汽車工業,13
1524,耿鼎,listed,汽車工業,13
1525,江申,listed,汽車工業,13
1526,日馳,listed,電機機械,32
1527,鑽全,listed,電機機械,32
1528,恩德,listed,電機機械,32
1529,樂事綠能,listed,電機機械,32
1530,亞崴,listed,電機機械,32
1531,高林股,listed,電機機械,32
1532,勤美,listed,電機機械,32
1533,車王電,listed,汽車工業,13
1535,中宇,listed,電機機械,32
1536,和大,listed,汽車工業,13
1537,廣隆,listed,電機機械,32
1538,正峰,listed,電機機械,32
1539,巨庭,listed,電機機械,32
1540,喬福,listed,電機機械,32
1541,錩泰,listed,電機機械,32
1558,伸興,listed,電機機械,32
1560,中砂,listed,電機機械,32
1563,巧新,listed,汽車工業,13
1568,倉佑,listed,汽車工業,13
1582,信錦,listed,電子零組件業,31
1583,程泰,listed,電機機械,32
1587,吉茂,listed,汽車工業,13
1589,永冠-KY,listed,電機機械,32
1590,亞德客-KY,listed,電機機械,32
1597,直得,listed,電機機械,32
1598,岱宇,listed,運動休閒,26
1603,華電,listed,電器電纜,29
1604,聲寶,listed,電器電纜,29
1605,華新,listed,電器電纜,29
1608,華榮,listed,電器電纜,29
1609,大亞,listed,電器電纜,29
1611,中電,listed,電器電纜,29
1612,宏泰,listed,電器電纜,29
1614,三洋電,listed,電器電纜,29
1615,大山,listed,電器電纜,29
1616,億泰,listed,電器電纜,29
1617,榮星,listed,電器電纜,29
1618,合機,listed,電器電纜,29
1626,艾美特-KY,listed,電器電纜,29
1702,南僑,listed,食品工業,34
1707,葡萄王,listed,生技醫療業,16
1708,東鹼,listed,化學工業,4
1709,和益,listed,化學工業,4
1710,東聯,listed,化學工業,4
1711,永光,listed,化學工業,4
1712,興農,listed,化學工業,4
1713,國化,listed,化學工業,4
1714,和桐,listed,化學工業,4
1717,長興,listed,化學工業,4
1718,中纖,listed,化學工業,4
1720,生達,listed,生技醫療業,16
1721,三晃,listed,化學工業,4
1722,台肥,listed,化學工業,4
1723,中碳,listed,化學工業,4
1725,元禎,listed,化學工業,4
1726,永記,listed,化學工業,4
1727,中華化,listed,化學工業,4
1730,花仙子,listed,化學工業,4
1731,美吾華,listed,生技醫療業,16
1732,毛寶,listed,化學工業,4
1733,五鼎,listed,生技醫療業,16
1734,杏輝,listed,生技醫療業,16
1735,日勝化,listed,化學工業,4
1736,喬山,listed,運動休閒,26
1737,臺鹽,listed,食品工業,34
1752,南光,listed,生技醫療業,16
1760,寶齡富錦,listed,生技醫療業,16
1762,中化生,listed,生技醫療業,16
1773,勝一,listed,化學工業,4
1776,展宇,listed,化學工業,4
1783,和康生,listed,生技醫療業,16
1786,科妍,listed,生技醫療業,16
1789,神隆,listed,生技醫療業,16
1795,美時,listed,生技醫療業,16
1802,台玻,listed,玻璃陶瓷,15
1805,寶徠,listed,建材營造業,8
1806,冠軍,listed,玻璃陶瓷,15
1808,潤隆,listed,建材營造業,8
1809,中釉,listed,玻璃陶瓷,15
1810,和成,listed,玻璃陶瓷,15
1817,凱撒衛,listed,玻璃陶瓷,15
1903,士紙,listed,造紙工業,25
1904,正隆,listed,造紙工業,25
1905,華紙,listed,造紙工業,25
1906,寶隆,listed,造紙工業,25
1907,永豐餘,listed,造紙工業,25
1909,榮成,listed,造紙工業,25
2002,中鋼,listed,鋼鐵工業,28
2006,東和鋼鐵,listed,鋼鐵工業,28
2007,燁興,listed,鋼鐵工業,28
2008,高興昌,listed,鋼鐵工業,28
2009,第一銅,listed,鋼鐵工業,28
2010,春源,listed,鋼鐵工業,28
2012,春雨,listed,鋼鐵工業,28
2013,中鋼構,listed,鋼鐵工業,28
2014,中鴻,listed,鋼鐵工業,28
2015,豐興,listed,鋼鐵工業,28
2017,官田鋼,listed,鋼鐵工業,28
2020,美亞,listed,鋼鐵工業,28
2022,聚亨,listed,鋼鐵工業,28
2023,燁輝,listed,鋼鐵工業,28
2024,志聯,listed,鋼鐵工業,28
2025,千興,listed,鋼鐵工業,28
2027,大成鋼,listed,鋼鐵工業,28
2028,威致,listed,鋼鐵工業,28
2029,盛餘,listed,鋼鐵工業,28
2030,彰源,listed,鋼鐵工業,28
2031,新光鋼,listed,鋼鐵工業,28
2032,新鋼,listed,鋼鐵工業,28
2033,佳大,listed,鋼鐵工業,28
2034,允強,listed,鋼鐵工業,28
2038,海光,listed,鋼鐵工業,28
2049,上銀,listed,電機機械,32
2059,川湖,listed,電子零組件業,31
2062,橋椿,listed,居家生活,7
2069,運錩,listed,鋼鐵工業,28
2101,南港,listed,橡膠工業,11
2102,泰豐,listed,橡膠工業,11
2103,台橡,listed,橡膠工業,11
2104,國際中橡,listed,橡膠工業,11
2105,正新,listed,橡膠工業,11
2106,建大,listed,橡膠工業,11
2107,厚生,listed,橡膠工業,11
2108,南帝,listed,橡膠工業,11
2109,華豐,listed,橡膠工業,11
2114,鑫永銓,listed,橡膠工業,11
2115,六暉-KY,listed,汽車工業,13
2201,裕隆,listed,汽車工業,13
2204,中華,listed,汽車工業,13
2206,三陽工業,listed,汽車工業,13
2207,和泰車,listed,汽車工業,13
2208,台船,listed,航運業,19
2211,長榮鋼,listed,鋼鐵工業,28
2227,裕日車,listed,汽車工業,13
2228,劍麟,listed,汽車工業,13
2231,為升,listed,汽車工業,13
2233,宇隆,listed,汽車工業,13
2236,百達-KY,listed,汽車工業,13
2239,英利-KY,listed,汽車工業,13
2241,艾姆勒,listed,汽車工業,13
2243,宏旭-KY,listed,汽車工業,13
2247,汎德永業,listed,汽車工業,13
2248,華勝-KY,listed,汽車工業,13
2250,IKKA-KY,listed,汽車工業,13
2301,光寶科,listed,電腦及週邊設備業,33
2302,麗正,listed,半導體業,5
2303,聯電,listed,半導體業,5
2305,全友,listed,電腦及週邊設備業,33
2308,台達電,listed,電子零組件業,31
2312,金寶,listed,其他電子業,3
2313,華通,listed,電子零組件業,31
2314,台揚,listed,通信網路業,24
2316,楠梓電,listed,電子零組件業,31
2317,鴻海,listed,其他電子業,3
2321,東訊,listed,通信網路業,24
2323,中環,listed,光電業,1
2324,仁寶,listed,電腦及週邊設備業,33
2327,國巨*,listed,電子零組件業,31
2328,廣宇,listed,電子零組件業,31
2329,華泰,listed,半導體業,5
2330,台積電,listed,半導體業,5
2331,精英,listed,電腦及週邊設備業,33
2332,友訊,listed,通信網路業,24
2337,旺宏,listed,半導體業,5
2338,光罩,listed,半導體業,5
2340,台亞,listed,半導體業,5
2342,茂矽,listed,半導體業,5
2344,華邦電,listed,半導體業,5
2345,智邦,listed,通信網路業,24
2347,聯強,listed,電子通路業,30
2348,海悅,listed,其他業,2
2349,錸德,listed,光電業,1
2351,順德,listed,半導體業,5
2352,佳世達,listed,電腦及週邊設備業,33
2353,宏碁,listed,電腦及週邊設備業,33
2354,鴻準,listed,其他電子業,3
2355,敬鵬,listed,電子零組件業,31
2356,英業達,listed,電腦及週邊設備業,33
2357,華碩,listed,電腦及週邊設備業,33
2359,所羅門,listed,其他電子業,3
2360,致茂,listed,其他電子業,3
2362,藍天,listed,電腦及週邊設備業,33
2363,矽統,listed,半導體業,5
2364,倫飛,listed,電腦及週邊設備業,33
2365,昆盈,listed,電腦及週邊設備業,33
2367,燿華,listed,電子零組件業,31
2368,金像電,listed,電子零組件業,31
2369,菱生,listed,半導體業,5
2371,大同,listed,電機機械,32
2373,震旦行,listed,其他電子業,3
2374,佳能,listed,光電業,1
2375,凱美,listed,電子零組件業,31
2376,技嘉,listed,電腦及週邊設備業,33
2377,微星,listed,電腦及週邊設備業,33
2379,瑞昱,listed,半導體業,5
2380,虹光,listed,電腦及週邊設備業,33
2382,廣達,listed,電腦及週邊設備業,33
2383,台光電,listed,電子零組件業,31
2385,群光,listed,電子零組件業,31
2387,精元,listed,電腦及週邊設備業,33
2388,威盛,listed,半導體業,5
2390,云辰,listed,其他電子業,3
2392,正崴,listed,電子零組件業,31
2393,億光,listed,光電業,1
2395,研華,listed,電腦及週邊設備業,33
2397,友通,listed,電腦及週邊設備業,33
2399,映泰,listed,電腦及週邊設備業,33
2401,凌陽,listed,半導體業,5
2402,毅嘉,listed,電子零組件業,31
2404,漢唐,listed,其他電子業,3
2405,輔信,listed,電腦及週邊設備業,33
